"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
45, 5.590599775310000e-01, -4.872955796694115e-02, 1.190451445946176e+00, 3.511780297879377e+02, 2.663048422851335e+01, 2.781161704277310e+05
46, 5.433599948880000e-01, -4.989683951066199e-02, 1.184087462632570e+00, 3.516498023679797e+02, 2.559855512807639e+01, 2.768224711053175e+05
47, 5.276100039480000e-01, -5.101897737545535e-02, 1.177619640969201e+00, 3.520994513966024e+02, 2.451451790734403e+01, 2.755064824982533e+05
48, 5.118399858470000e-01, -5.209138375948307e-02, 1.171056717580749e+00, 3.525151232261173e+02, 2.337320242334164e+01, 2.741690493129033e+05
49, 4.960500001910000e-01, -5.311153541819326e-02, 1.164485639614461e+00, 3.529109849806516e+02, 2.217333529319137e+01, 2.728295303153399e+05
50, 4.802699983120000e-01, -5.407492053959814e-02, 1.157846360197621e+00, 3.532807721510126e+02, 2.091031632567850e+01, 2.714749232875148e+05
51, 4.645099937920000e-01, -5.497835513414191e-02, 1.150747545877047e+00, 3.536278663724679e+02, 1.958124234467599e+01, 2.700243455110865e+05
52, 4.487800002100000e-01, -5.581859897363720e-02, 1.142744532937804e+00, 3.539270070346327e+02, 1.818174181712707e+01, 2.683836348086261e+05
53, 4.331099987030000e-01, -5.659141825851464e-02, 1.134776459380822e+00, 3.541645613990646e+02, 1.670697855524391e+01, 2.667466868683980e+05
54, 4.174999892710000e-01, -5.729416860686566e-02, 1.129508310965717e+00, 3.543390278057064e+02, 1.515469815447671e+01, 2.656649902369365e+05
55, 4.019699990750000e-01, -5.792324246601335e-02, 1.129186505485454e+00, 3.545023291409543e+02, 1.352331581259528e+01, 2.656070925552270e+05
56, 3.865399956700000e-01, -5.847520956655861e-02, 1.131180201420223e+00, 3.546775792478618e+02, 1.181028985274025e+01, 2.660300893282068e+05
57, 3.712300062180000e-01, -5.894684318665333e-02, 1.124991978830119e+00, 3.548493609835701e+02, 1.001031294416700e+01, 2.647597298995294e+05
58, 3.560400009160000e-01, -5.933561549045978e-02, 1.098452489234372e+00, 3.547836050194182e+02, 8.114431684462808e+00, 2.592674341675358e+05
59, 3.409900069240000e-01, -5.963847719943702e-02, 1.055617514551501e+00, 3.540848021187794e+02, 6.115493315774852e+00, 2.503895225035787e+05
60, 3.261100053790000e-01, -5.985254444802346e-02, 1.022754355038891e+00, 3.531267619373194e+02, 4.023839009406903e+00, 2.435706011172100e+05
61, 3.113999962810000e-01, -5.997565198183213e-02, 1.010543403525663e+00, 3.525410810395502e+02, 1.844162621133818e+00, 2.410207873441601e+05
62, 2.968699932100000e-01, -6.000550062925582e-02, 1.011168475145682e+00, 3.524760323929436e+02, -4.349097059948582e-01, 2.411412081298195e+05
63, 2.825500071050000e-01, -5.994005483718394e-02, 1.015668720544583e+00, 3.526023444102672e+02, -2.826831720965621e+00, 2.420721508472756e+05
64, 2.684499919410000e-01, -5.977765596976551e-02, 1.020193994919615e+00, 3.527992915190464e+02, -5.339606904812598e+00, 2.430175298602822e+05
65, 2.545700073240000e-01, -5.951657836311273e-02, 1.024350854773578e+00, 3.529661129629234e+02, -7.977948793479446e+00, 2.438872670884744e+05
66, 2.409400045870000e-01, -5.915585896897953e-02, 1.028897994799445e+00, 3.531346643642394e+02, -1.075111987697979e+01, 2.448396367467953e+05
67, 2.275699973110000e-01, -5.869456802648413e-02, 1.034065667242887e+00, 3.532731897795408e+02, -1.366493991862647e+01, 2.459190475153538e+05
68, 2.144699990750000e-01, -5.813197420944613e-02, 1.039768996651595e+00, 3.533882559947422e+02, -1.672772461052567e+01, 2.471094098234937e+05
69, 2.016600072380000e-01, -5.746811193675738e-02, 1.045798668848769e+00, 3.534491952223523e+02, -1.994962125089862e+01, 2.483655634894693e+05
70, 1.891400069000000e-01, -5.670228146432130e-02, 1.052213627944710e+00, 3.534657596012964e+02, -2.334010557891601e+01, 2.497011800515765e+05
71, 1.769299954180000e-01, -5.583513598033686e-02, 1.059309280105581e+00, 3.534300987696320e+02, -2.691332088099121e+01, 2.511768638755602e+05
72, 1.650400012730000e-01, -5.486709202536137e-02, 1.067396018992257e+00, 3.533359454008789e+02, -3.068112469764914e+01, 2.528567695202450e+05
73, 1.534900069240000e-01, -5.379977779145956e-02, 1.076434098157738e+00, 3.531450337929613e+02, -3.465728152617048e+01, 2.547304883463286e+05
74, 1.422899961470000e-01, -5.263443049277360e-02, 1.086179464834447e+00, 3.528381989045299e+02, -3.885925661909062e+01, 2.567475874819926e+05
75, 1.314399987460000e-01, -5.137133628795417e-02, 1.096418893591742e+00, 3.523715290223331e+02, -4.330433014342359e+01, 2.588616581184384e+05
76, 1.209499984980000e-01, -5.001187382363489e-02, 1.107271497388082e+00, 3.517557620393656e+02, -4.801690587936951e+01, 2.611000018089764e+05
77, 1.108499988910000e-01, -4.856066993422563e-02, 1.118941210123066e+00, 3.509505665020857e+02, -5.302720225468497e+01, 2.635032051045392e+05
78, 1.011300012470000e-01, -4.701715290498424e-02, 1.131501264575877e+00, 3.498803004076020e+02, -5.835134392573728e+01, 2.660821055602041e+05
79, 9.181000292300000e-02, -4.538527151431038e-02, 1.144984396944906e+00, 3.484949895866976e+02, -6.402593664550922e+01, 2.688423552252882e+05
80, 8.290000259900000e-02, -4.366791468532204e-02, 1.159493245417504e+00, 3.467644477655014e+02, -7.009364720599271e+01, 2.718065565101933e+05
81, 7.440000027400000e-02, -4.186607976498817e-02, 1.175080154772290e+00, 3.445930864069937e+02, -7.658772986435812e+01, 2.749818790419797e+05
82, 6.633000075800000e-02, -3.998513962421356e-02, 1.191903330163359e+00, 3.418954751094578e+02, -8.356355710631607e+01, 2.783999251600181e+05
83, 5.869000032500000e-02, -3.802635805630503e-02, 1.210094684875746e+00, 3.385410196820382e+02, -9.106300062159688e+01, 2.820843294940028e+05
84, 5.149000138000000e-02, -3.599337852580232e-02, 1.229832870709908e+00, 3.343608709832799e+02, -9.913555270306668e+01, 2.860675682611786e+05
85, 4.473999887700000e-02, -3.389028465845557e-02, 1.251463412833351e+00, 3.291345345869477e+02, -1.078266313619962e+02, 2.904157943715806e+05
86, 3.844000026600000e-02, -3.171811260404538e-02, 1.275307429888585e+00, 3.225798990535775e+02, -1.171594989568976e+02, 2.951888445585304e+05
87, 3.260000050100000e-02, -2.948109446637338e-02, 1.301747158110645e+00, 3.143509920369997e+02, -1.271400511502753e+02, 3.004595856063213e+05
88, 2.723000012300000e-02, -2.718419978786347e-02, 1.331215775823821e+00, 3.039258069419438e+02, -1.377067749079033e+02, 3.063049538823917e+05
89, 2.232000045500000e-02, -2.482329437156798e-02, 1.364274984022270e+00, 2.906767468457979e+02, -1.486269106986201e+02, 3.128279593635295e+05
90, 1.789999939500000e-02, -2.241364555514381e-02, 1.401465006894953e+00, 2.737364379747515e+02, -1.595445300235353e+02, 3.201235535830903e+05
91, 1.394999958600000e-02, -1.994492353858276e-02, 1.443456307298594e+00, 2.521305869833564e+02, -1.696006635489627e+02, 3.283140710846147e+05
92, 1.049000024800000e-02, -1.742916196961543e-02, 1.490383496667603e+00, 2.246140828174805e+02, -1.773634090382560e+02, 3.374035818941899e+05
93, 7.519999985000000e-03, -1.486756313872443e-02, 1.541847318268557e+00, 1.902518245402216e+02, -1.804368265674149e+02, 3.473022098985341e+05
94, 5.040000193000000e-03, -1.226032473458219e-02, 1.596289865888961e+00, 1.486730824544953e+02, -1.750150836579362e+02, 3.576896271403293e+05
95, 3.049999941000000e-03, -9.605565346412577e-03, 1.651630622446268e+00, 1.017504193181101e+02, -1.562163351221988e+02, 3.682134627303740e+05
96, 1.560000004000000e-03, -6.917517506923035e-03, 1.697554379704203e+00, 5.509760621017625e+01, -1.202058449220727e+02, 3.768332802160259e+05
97, 5.600000150000000e-04, -4.173159738460802e-03, 1.738299176741605e+00, 1.737726116838466e+01, -6.420536277171975e+01, 3.847348736178230e+05
98, 5.999999800000000e-05, -1.375329724321098e-03, 1.743919576430858e+00, -4.171096834268680e-01, 3.108330876434284e+00, 3.856148592060967e+05
99, 0.000000000000000e+00, 0.000000000000000e+00, 1.725813655243671e+00, 0.000000000000000e+00, 5.125516975081201e+01, 3.818279491973258e+05
100, 5.999999800000000e-05, 1.375329724321098e-03, 1.723975757462553e+00, 1.326852471862891e+01, 9.887798510953013e+01, 3.820288399617873e+05
101, 5.600000150000000e-04, 4.173159738460802e-03, 1.685087790823529e+00, 4.383288585380922e+01, 1.619533889891263e+02, 3.749917166884934e+05
102, 1.560000004000000e-03, 6.917517506923035e-03, 1.603512532873939e+00, 9.452541563097694e+01, 2.062250655535077e+02, 3.591522837367471e+05
103, 3.049999941000000e-03, 9.605565346412577e-03, 1.529506504520734e+00, 1.476062871616353e+02, 2.266183606506706e+02, 3.450348741633252e+05
104, 5.040000193000000e-03, 1.226032473458219e-02, 1.454129338192923e+00, 1.951641280001160e+02, 2.297434453168050e+02, 3.304632686961682e+05
105, 7.519999985000000e-03, 1.486756313872443e-02, 1.384693839317737e+00, 2.337705545256498e+02, 2.217104466958623e+02, 3.168917054973223e+05
106, 1.049000024800000e-02, 1.742916196961543e-02, 1.323705106680997e+00, 2.633681405358667e+02, 2.079650156017506e+02, 3.048499346747027e+05
107, 1.394999958600000e-02, 1.994492353858276e-02, 1.271306751389328e+00, 2.855232983435197e+02, 1.920629362630300e+02, 2.944162598460261e+05
108, 1.789999939500000e-02, 2.241364555514381e-02, 1.226509341966565e+00, 3.018736408640843e+02, 1.759440157638047e+02, 2.854244105232148e+05
109, 2.232000045500000e-02, 2.482329437156798e-02, 1.188090411517917e+00, 3.139325655462741e+02, 1.605179220255362e+02, 2.776578848305535e+05
110, 2.723000012300000e-02, 2.718419978786347e-02, 1.155047088588213e+00, 3.228097403852266e+02, 1.462629603737576e+02, 2.709372383224192e+05
111, 3.260000050100000e-02, 2.948109446637338e-02, 1.126332409641198e+00, 3.293633651642212e+02, 1.332118433050379e+02, 2.650633793034119e+05
112, 3.844000026600000e-02, 3.171811260404538e-02, 1.101110471410206e+00, 3.342035236296944e+02, 1.213811446186240e+02, 2.598789578782017e+05
113, 4.473999887700000e-02, 3.389028465845557e-02, 1.078681934188632e+00, 3.377704275336432e+02, 1.106558065088942e+02, 2.552484654361456e+05
114, 5.149000138000000e-02, 3.599337852580232e-02, 1.058648353440133e+00, 3.403644127017930e+02, 1.009155589121836e+02, 2.510945632331222e+05
115, 5.869000032500000e-02, 3.802635805630503e-02, 1.040697686037157e+00, 3.422244326336103e+02, 9.205378937804051e+01, 2.473582200703471e+05
116, 6.633000075800000e-02, 3.998513962421356e-02, 1.024359289870201e+00, 3.435223062495302e+02, 8.396117511173475e+01, 2.439459346912362e+05
117, 7.440000027400000e-02, 4.186607976498817e-02, 1.009114402924592e+00, 3.443497775095361e+02, 7.653365310874854e+01, 2.407502944713623e+05
118, 8.290000259900000e-02, 4.366791468532204e-02, 9.947382120258034e-01, 3.448209046952232e+02, 6.970078679838527e+01, 2.377291612985761e+05
119, 9.181000292300000e-02, 4.538527151431038e-02, 9.811407233150974e-01, 3.449982553364932e+02, 6.338351224268573e+01, 2.348642159939241e+05
120, 1.011300012470000e-01, 4.701715290498424e-02, 9.684230096512397e-01, 3.449366457613758e+02, 5.752686511920588e+01, 2.321766248061188e+05
121, 1.108499988910000e-01, 4.856066993422563e-02, 9.567974858039124e-01, 3.447243108580507e+02, 5.208644036727880e+01, 2.297142865036546e+05
122, 1.209499984980000e-01, 5.001187382363489e-02, 9.462001157281685e-01, 3.444079746414938e+02, 4.701388601734580e+01, 2.274654516947187e+05
123, 1.314399987460000e-01, 5.137133628795417e-02, 9.360423210169165e-01, 3.439145422609075e+02, 4.226501760943967e+01, 2.253007916180013e+05
124, 1.422899961470000e-01, 5.263443049277360e-02, 9.259493830807922e-01, 3.433089042634350e+02, 3.780976337542600e+01, 2.231495276991775e+05
125, 1.534900069240000e-01, 5.379977779145956e-02, 9.159155725828773e-01, 3.425537362373977e+02, 3.361786274355995e+01, 2.210049936813770e+05
126, 1.650400012730000e-01, 5.486709202536137e-02, 9.066180036021148e-01, 3.417889772655376e+02, 2.967846993283572e+01, 2.190168675653428e+05
127, 1.769299954180000e-01, 5.583513598033686e-02, 8.980973592698676e-01, 3.409715841788179e+02, 2.596461843020337e+01, 2.171871026282885e+05
128, 1.891400069000000e-01, 5.670228146432130e-02, 8.901296892018292e-01, 3.401615361206131e+02, 2.246159904116549e+01, 2.154760182701510e+05
129, 2.016600072380000e-01, 5.746811193675738e-02, 8.822086650170573e-01, 3.392538179082817e+02, 1.914839605430424e+01, 2.137698007851880e+05
130, 2.144699990750000e-01, 5.813197420944613e-02, 8.744495332453125e-01, 3.383232390285318e+02, 1.601461813121204e+01, 2.120989935395666e+05
131, 2.275699973110000e-01, 5.869456802648413e-02, 8.670860261741294e-01, 3.373581811523634e+02, 1.304933238602043e+01, 2.105083063652751e+05
132, 2.409400045870000e-01, 5.915585896897953e-02, 8.604995783380260e-01, 3.364771113160309e+02, 1.024398373955219e+01, 2.090862428339167e+05
133, 2.545700073240000e-01, 5.951657836311273e-02, 8.546206397577296e-01, 3.356387679147449e+02, 7.586305895068268e+00, 2.078136045097779e+05
134, 2.684499919410000e-01, 5.977765596976551e-02, 8.493727037889600e-01, 3.348741541338337e+02, 5.068310477479627e+00, 2.066780055867065e+05
135, 2.825500071050000e-01, 5.994005483718394e-02, 8.444982071288172e-01, 3.341256149919127e+02, 2.678702799980123e+00, 2.056212099476303e+05
136, 2.968699932100000e-01, 6.000550062925582e-02, 8.398404749812739e-01, 3.333776274190247e+02, 4.113447514027013e-01, 2.046099197276655e+05
137, 3.113999962810000e-01, 5.997565198183213e-02, 8.353544945806696e-01, 3.326420894083300e+02, -1.740069854252356e+00, 2.036362188025044e+05
138, 3.261100053790000e-01, 5.985254444802346e-02, 8.309036231885830e-01, 3.318646232415235e+02, -3.781559374076150e+00, 2.026665253700615e+05
139, 3.409900069240000e-01, 5.963847719943702e-02, 8.265510817654875e-01, 3.311040926076388e+02, -5.718587335736816e+00, 2.017198553498183e+05
140, 3.560400009160000e-01, 5.933561549045978e-02, 8.222767951749635e-01, 3.303342072262083e+02, -7.555237388802298e+00, 2.007890162292579e+05
141, 3.712300062180000e-01, 5.894684318665333e-02, 8.183321049517333e-01, 3.296068241786261e+02, -9.298220093766007e+00, 1.999295309943404e+05
142, 3.865399956700000e-01, 5.847520956655861e-02, 8.148220232987584e-01, 3.289254955039613e+02, -1.095277984613944e+01, 1.991623601516239e+05
143, 4.019699990750000e-01, 5.792324246601335e-02, 8.116343356285610e-01, 3.282972872835160e+02, -1.252366354576018e+01, 1.984659034140674e+05
144, 4.174999892710000e-01, 5.729416860686566e-02, 8.084789635733223e-01, 3.276587768663139e+02, -1.401361258968551e+01, 1.977753154480816e+05
145, 4.331099987030000e-01, 5.659141825851464e-02, 8.052662719122053e-01, 3.270097071104095e+02, -1.542600463035592e+01, 1.970727437425178e+05
146, 4.487800002100000e-01, 5.581859897363720e-02, 8.020225781223438e-01, 3.263271226852045e+02, -1.676389587304562e+01, 1.963606332349220e+05
147, 4.645099937920000e-01, 5.497835513414191e-02, 7.990811756068842e-01, 3.257369873652845e+02, -1.803685596288769e+01, 1.957193632955956e+05
148, 4.802699983120000e-01, 5.407492053959814e-02, 7.963209458489166e-01, 3.251027959232698e+02, -1.924249162989458e+01, 1.951089920656519e+05
149, 4.960500001910000e-01, 5.311153541819326e-02, 7.942453563755316e-01, 3.246836507268700e+02, -2.039981683250884e+01, 1.946590276999642e+05
150, 5.118399858470000e-01, 5.209138375948307e-02, 7.923262898359981e-01, 3.242058276038701e+02, -2.149617969879845e+01, 1.942331708319006e+05
151, 5.276100039480000e-01, 5.101897737545535e-02, 7.906482172543631e-01, 3.238510667969921e+02, -2.254775673411906e+01, 1.938693443269758e+05
152, 5.433599948880000e-01, 4.989683951066199e-02, 7.893895229682211e-01, 3.235951625380663e+02, -2.355630104618477e+01, 1.935998160975553e+05
153, 5.590599775310000e-01, 4.872955796694115e-02, 7.907264959120143e-01, 3.237960777569501e+02, -2.455405979460840e+01, 1.938954070490253e+05
154, 5.747100114820000e-01, 4.751950934859488e-02, 7.907665261384417e-01, 3.229062515693482e+02, -2.542531087263756e+01, 1.938072014399281e+05
155, 5.902799963950000e-01, 4.627132533375768e-02, 7.912908471714750e-01, 3.253912082250393e+02, -2.652844640302593e+01, 1.942117700659405e+05
156, 6.057599782940000e-01, 4.498807223669178e-02, 7.875040967139798e-01, 3.202968476847289e+02, -2.697070727512222e+01, 1.928745585362368e+05
157, 6.211299896240000e-01, 4.367359094194759e-02, 8.682689229508505e-01, 3.217937392835028e+02, -2.792549851073548e+01, 2.091565951263598e+05
158, 6.363800168040000e-01, 4.233084266562091e-02, 1.142638937733538e+00, 3.196192608269045e+02, -2.852985524043267e+01, 2.655331370049734e+05
159, 6.514999866490000e-01, 4.096270419333766e-02, 1.289320592424646e+00, 3.171336513570135e+02, -2.906743662339193e+01, 2.963307235123446e+05
160, 6.664699912070000e-01, 3.957289370556494e-02, 1.285338035715834e+00, 3.190234077996664e+02, -2.997930254612594e+01, 2.956245210889625e+05
161, 6.812700033190000e-01, 3.816515293304169e-02, 1.271847054009712e+00, 3.200535896164239e+02, -3.079389671451732e+01, 2.928419640803331e+05
162, 6.958900094030001e-01, 3.674225211597043e-02, 1.272628974926804e+00, 3.197852395843652e+02, -3.146401200174422e+01, 2.929931363302823e+05
163, 7.103199958800001e-01, 3.530689307158652e-02, 1.274849529470088e+00, 3.195140032438392e+02, -3.211303286400972e+01, 2.934491479096523e+05
164, 7.245299816130000e-01, 3.386376679305321e-02, 1.275283374882681e+00, 3.192720160007076e+02, -3.274640813639219e+01, 2.935284343512632e+05
165, 7.385200262070000e-01, 3.241453277608040e-02, 1.276392449005075e+00, 3.189567942055879e+02, -3.335487804355793e+01, 2.937456302954771e+05
166, 7.522799968720000e-01, 3.096181144522562e-02, 1.278384595406346e+00, 3.184920518370348e+02, -3.393121868124351e+01, 2.941394226786162e+05
167, 7.657799720760000e-01, 2.951033727360171e-02, 1.280871210654687e+00, 3.179774994290296e+02, -3.448675441453877e+01, 2.946347182640983e+05
168, 7.790099978450000e-01, 2.806276676215449e-02, 1.283643701903067e+00, 3.173771574852316e+02, -3.501820433613170e+01, 2.951847876464635e+05
169, 7.919700145720000e-01, 2.662062628442961e-02, 1.286753669007186e+00, 3.167147699172107e+02, -3.552853915883521e+01, 2.958024038676874e+05
170, 8.046399950980000e-01, 2.518763605296113e-02, 1.290143712948766e+00, 3.159921752883404e+02, -3.601867747702416e+01, 2.964756354395191e+05
171, 8.170099854470000e-01, 2.376642068849115e-02, 1.293775871144819e+00, 3.151979060259155e+02, -3.648692717417364e+01, 2.971957239400358e+05
172, 8.290500044819999e-01, 2.236196298315981e-02, 1.297618319601948e+00, 3.143345360406871e+02, -3.693412264117990e+01, 2.979562212690351e+05
173, 8.407700061800000e-01, 2.097463226217677e-02, 1.301696627798375e+00, 3.134240984546163e+02, -3.736236216824396e+01, 2.987642297084005e+05
174, 8.521599769590000e-01, 1.960709133914372e-02, 1.305952080398568e+00, 3.124325150362714e+02, -3.776716445911185e+01, 2.996050039118873e+05
175, 8.631799817090000e-01, 1.826569132102762e-02, 1.310415389214947e+00, 3.113855268828004e+02, -3.815192826844556e+01, 3.004870087138135e+05
176, 8.738499879840000e-01, 1.694956337677533e-02, 1.315036929422942e+00, 3.102599256911301e+02, -3.851238504283351e+01, 3.013982023187626e+05
177, 8.841500282290000e-01, 1.566269158090452e-02, 1.319855486008070e+00, 3.090732710809888e+02, -3.885049447427620e+01, 3.023481960401246e+05
178, 8.940600156780000e-01, 1.440916392228702e-02, 1.324832133908564e+00, 3.078080226218944e+02, -3.916329352799565e+01, 3.033276439053419e+05
179, 9.035800099370001e-01, 1.319055953446835e-02, 1.329995448525952e+00, 3.064722367571326e+02, -3.945065890298258e+01, 3.043433374128756e+05
180, 9.126999974250000e-01, 1.200973104171110e-02, 1.335333507249016e+00, 3.050534562466951e+02, -3.970999562463681e+01, 3.053920624620687e+05
181, 9.214000105860000e-01, 1.087086069705918e-02, 1.340852665415842e+00, 3.035471368492754e+02, -3.994010308686243e+01, 3.064750619264607e+05
182, 9.296900033950000e-01, 9.774221272349531e-03, 1.346567608336631e+00, 3.019510693052950e+02, -4.013878818008152e+01, 3.075955214700088e+05
183, 9.375399947170000e-01, 8.725349486403867e-03, 1.352481906084091e+00, 3.002541479605771e+02, -4.030434820191357e+01, 3.087537089316499e+05
184, 9.449599981310000e-01, 7.724467125531491e-03, 1.358615229338638e+00, 2.984474625791638e+02, -4.043382625399946e+01, 3.099535047202578e+05
185, 9.519400000570000e-01, 6.774428848839826e-03, 1.364984878408288e+00, 2.965160317231653e+02, -4.052439667718239e+01, 3.111979504653747e+05
186, 9.584699869160000e-01, 5.878077433056352e-03, 1.371619421938036e+00, 2.944516698095420e+02, -4.057363393245247e+01, 3.124929881134243e+05
